nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
40,3,14,2,/Volumes/projects/FRET-FISH/iAM592/a488_003.tif,/Volumes/projects/FRET-FISH/iAM592/a594_003.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_003.tif,245,953,27,245,953,30,2310,6417,3499,2,18.6010761260986,18.6010761260986
41,4,1,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,284,171,35,284,171,38,3160,7367,5795,1,10,10
41,4,1,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,319,215,34,319,222,34,2781,2950,3501,2,31.8276615142822,31.8276615142822
42,4,2,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,204,175,33,200,174,35,2713,5814,6030,1,11.6619033813477,11.6619033813477
42,4,2,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,230,169,27,226,171,29,2723,4856,3429,2,28.6006984710693,28.6006984710693
44,4,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,688,284,24,688,290,25,2487,3330,3831,1,20.6155281066895,20.6155281066895
44,4,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,650,273,37,645,269,38,3540,2842,3728,2,31.7647609710693,31.7647609710693
45,4,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,399,330,38,396,328,36,2658,3906,3493,1,10.8166542053223,10.8166542053223
45,4,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,350,303,38,345,299,37,2581,4483,7164,2,24.6981773376465,24.6981773376465
46,4,6,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,250,304,28,247,303,28,3515,16081,13309,1,7.07106781005859,7.07106781005859
46,4,6,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,268,331,25,268,331,28,3843,11482,4360,2,35.341194152832,35.341194152832
48,4,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,749,637,36,753,642,35,2179,2671,4111,1,13.34166431427,13.34166431427
48,4,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,733,570,29,733,571,26,2359,2673,3630,2,17,17
49,4,9,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,416,588,37,412,591,35,2349,4438,7347,1,19.4164886474609,19.4164886474609
49,4,9,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,427,585,26,424,581,24,2527,3365,8191,2,30.2324333190918,30.2324333190918
50,4,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,240,590,30,244,595,29,3025,7595,3672,1,9.21954441070557,9.21954441070557
50,4,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,239,633,26,240,633,29,3460,12519,4220,2,8.48528099060059,8.48528099060059
51,4,11,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,447,695,30,443,692,28,2292,3406,12268,1,2.2360680103302,2.2360680103302
51,4,11,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,384,695,24,384,700,26,2700,2770,4056,2,27.1661548614502,27.1661548614502
52,4,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,674,822,29,669,821,27,2977,10367,4373,1,2.82842707633972,2.82842707633972
52,4,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,648,845,35,648,844,32,2033,2482,3621,2,34.2344856262207,34.2344856262207
53,4,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,903,881,27,901,887,27,2678,4760,7012,1,6.70820379257202,6.70820379257202
53,4,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_004.tif,/Volumes/projects/FRET-FISH/iAM592/a594_004.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_004.tif,905,857,31,902,861,29,2419,4768,11310,2,2,2
55,5,1,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,518,114,34,518,109,32,2279,3180,5375,1,37,37
55,5,1,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,553,128,27,548,127,29,2866,9265,6584,2,16,16
58,5,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,870,260,32,871,258,30,2068,3339,10132,1,8,8
58,5,4,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,890,262,32,888,267,33,2459,6650,14229,2,25.8069763183594,25.8069763183594
