nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair
105,19,1,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,526,281,22,521,282,24,2513,3148,4274,1
105,19,1,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,531,301,25,532,301,22,2391,1878,4098,2
108,19,4,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,686,679,19,686,674,17,2220,2450,15304,1
108,19,4,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,737,618,25,732,618,23,2369,3830,9684,2
109,19,5,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,520,731,18,517,726,17,2370,2518,12148,1
109,19,5,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,562,745,28,558,748,26,2936,3423,8746,2
110,19,6,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,454,778,25,458,781,23,2911,6302,12594,1
110,19,6,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,422,787,23,417,786,25,2955,6437,5053,2
111,19,7,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,858,887,17,856,891,15,1786,1824,12076,1
111,19,7,2,/Volumes/AM/iAM727/a488_019.tif,/Volumes/AM/iAM727/a594_019.tif,/Volumes/AM/iAM727/a488fret_019.tif,872,860,23,871,855,21,1777,1899,4156,2
112,20,1,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,437,456,26,431,454,25,2168,2660,5869,1
112,20,1,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,387,458,16,387,458,19,2156,2005,4151,2
113,20,2,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,658,550,19,658,554,17,2321,3003,9482,1
113,20,2,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,681,559,18,682,563,16,2036,1910,12299,2
114,20,3,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,151,601,22,150,595,21,2524,5333,3993,1
114,20,3,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,197,635,20,197,634,17,2043,1913,4075,2
115,20,4,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,537,635,23,542,639,24,2295,2135,4691,1
115,20,4,2,/Volumes/AM/iAM727/a488_020.tif,/Volumes/AM/iAM727/a594_020.tif,/Volumes/AM/iAM727/a488fret_020.tif,514,651,27,519,650,29,2079,2428,4445,2
116,21,1,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,301,251,21,298,250,21,3386,10629,12310,1
116,21,1,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,324,212,17,331,212,17,3445,13570,8455,2
118,21,3,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,367,592,19,372,590,20,3876,11826,4445,1
118,21,3,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,398,614,26,393,615,24,2183,2655,7460,2
119,21,4,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,604,827,20,603,832,18,2523,4451,20853,1
119,21,4,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,604,825,29,609,824,27,1942,2299,5818,2
120,21,5,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,115,859,20,111,864,20,3126,7006,7764,1
120,21,5,2,/Volumes/AM/iAM727/a488_021.tif,/Volumes/AM/iAM727/a594_021.tif,/Volumes/AM/iAM727/a488fret_021.tif,188,846,25,186,850,23,2602,3907,15364,2
