File,Channel,Nuclei,x,y,z,Value,FWHM,SNR,Label,dilation,version,xi,yi,zi,cell_ID,lamin_dist,lamin_dist_norm,centr_dist,centr_dist_norm,compartment,xnorm,ynorm,znorm,G1,Allele,angle
1,tmrfret,3,777.4798825,260.3447952,25.94474311,2.243488776,2.622757571,14.54091647,0,0,7.0.2,777,260,26,12,3016.577068,0.624947423,1810.351106,0.375052577,0,0.37164002,0.054731883,0.475341178,0,2,122.6881478
1,tmrfret,4,219.5563965,249.9473724,18,5.902609809,3.33064066,4.947774998,0,0,7.0.2,220,250,18,3,1540.064716,0.352907666,2823.847957,0.647092334,1,-0.388643954,0.619109172,-0.012321043,0,2,54.52964522
1,tmrfret,4,198.3894448,236.5772836,26.78080268,4.902609809,6.275975206,5.104293626,0,0,7.0.2,198,237,27,3,2479.628667,0.519256503,2296.547322,0.480743497,0,-0.486072604,0.119157016,0.504196761,0,1,54.52964522
1,tmrfret,5,467.820092,290.7035575,20.41364738,2.550182989,4.028707102,18.57978637,0,0,7.0.2,468,291,20,7,2181.239222,0.480710337,2356.387963,0.519289663,0,-0.200630764,-0.534085085,0.146831473,0,0,
1,tmrfret,6,373.6885681,489.3999939,19,6.272500235,2.362956051,2.434796891,0,0,7.0.2,374,489,19,5,3121.853241,0.682629937,1451.556935,0.317370063,0,0.468759879,0.136835763,0.067318704,0,-1,
1,tmrfret,6,351.6657104,418.7657166,21,5.272500235,3.887584468,5.204849836,0,0,7.0.2,352,419,21,5,1007.152029,0.216247684,3650.316134,0.783752316,2,-0.631949318,0.35257658,0.184965763,0,-1,
1,tmrfret,6,355.4944182,427.963483,20.77471622,2.095642883,2.869649812,11.95622955,0,0,7.0.2,355,428,21,5,2094.695639,0.46369791,2422.474638,0.53630209,0,-0.48699775,0.309791353,0.171713775,0,-1,
1,tmrfret,7,754.9797939,448.8632912,20.70927934,4.40788567,3.171155236,14.55033473,0,0,7.0.2,755,449,21,11,3778.661304,0.767833108,1142.548658,0.232166892,0,-0.396850272,-0.268027015,0.161668382,0,1,153.3028822
1,tmrfret,7,704.6727704,517.7725073,21.78706604,2.953710758,3.902019491,7.834265729,0,0,7.0.2,705,518,22,11,1525.723368,0.314099574,3331.581444,0.685900426,2,0.623600772,0.392198982,0.2250676,0,2,153.3028822
1,tmrfret,8,168.6801309,494.1737468,23.60335195,2.509554753,2.868034128,23.44208927,0,0,7.0.2,169,494,24,2,3679.933555,0.763463075,1140.222991,0.236536925,0,-0.452725459,0.134493353,0.281350403,0,0,
1,tmrfret,9,67.58000183,696.1599731,24,4.432884393,3.883931418,2.010522431,0,0,7.0.2,68,696,24,1,1279.203491,0.265080848,3546.450811,0.734919152,0,-0.141922732,-0.723386081,0.330195436,0,2,12.29234236
1,tmrfret,9,66.13898947,684.9431694,24.90331755,2.506149008,3.196450206,7.734910259,0,0,7.0.2,66,685,25,1,2701.979205,0.534186065,2356.423118,0.465813935,0,-0.006047143,-0.579941413,0.383331763,0,1,12.29234236
1,tmrfret,10,873.7157668,683.9338935,23.19743121,4.849608509,2.751407255,45.78184445,0,0,7.0.2,874,684,23,10,3840.770637,0.853504586,659.2293629,0.146495414,2,0.544472641,0.128604891,0.319211857,0,-1,
1,tmrfret,10,872.4619042,717.0004807,20.38810082,4.337601827,2.903164933,15.00557766,0,0,7.0.2,872,717,20,10,2707.34038,0.596528121,1831.092157,0.403471879,0,0.491389672,0.642028927,0.153957128,0,-1,
1,tmrfret,10,869.2346853,709.5395892,22.66397857,3.687396789,2.919859194,13.52635107,0,0,7.0.2,869,710,23,10,3573.884753,0.782469439,994.3745636,0.217530561,0,0.477079945,0.516502634,0.28783229,0,-1,
1,tmrfret,11,455.2677775,704.8492566,20.06889487,3.1476417,2.617330082,14.71591043,0,0,7.0.2,455,705,20,6,3873.426251,0.90845726,390.3794682,0.09154274,0,-0.266744253,0.086728314,0.176237613,0,1,146.9822893
1,tmrfret,11,486,645,18,2.479130256,2.975974171,4.693756152,0,0,7.0.2,486,645,18,6,130,0.030698099,4104.789885,0.969301901,2,0.509358536,-0.544707293,0.054537915,0,2,146.9822893
1,tmrfret,12,344.6595626,692.4995297,21.00363544,2.81230217,2.698821891,27.90406443,0,0,7.0.2,345,692,21,4,1991.760353,0.463557256,2305.002573,0.536442744,2,-0.698260287,-0.227151009,0.217503543,0,-1,
1,tmrfret,12,288.881154,749.4691025,21.18813321,2.813298658,3.240882278,11.94441761,0,0,7.0.2,289,749,21,4,1871.629582,0.440643537,2375.664387,0.559356463,0,-0.373131946,0.39397723,0.228356353,0,-1,
1,tmrfret,12,335.2030076,690.0442089,20.99668235,1.847949469,2.191401872,6.866541356,0,0,7.0.2,335,690,21,4,3100.71221,0.736784147,1107.733318,0.263215853,2,-0.71879477,-0.132743123,0.217094537,0,-1,
1,tmrfret,13,721,668,21,2.104996472,3.087580383,10.77674336,0,0,7.0.2,721,668,21,10,1608.011194,0.359656467,2862.953021,0.640343533,2,-0.578143505,-0.541669209,0.189951198,0,-1,
1,tmrfret,13,710.8586281,682.4160659,18.65855901,2.664885365,2.864333461,9.913384591,0,0,7.0.2,711,682,19,10,3333.677322,0.747955654,1123.349932,0.252044346,2,-0.673139902,-0.34429436,0.052219374,0,-1,
1,tmrfret,14,379,796,24,1.860185313,4.004919583,4.333178467,0,0,7.0.2,379,796,24,4,992.8242543,0.218024063,3560.912804,0.781975937,0,-0.032972082,-0.484900287,0.393760281,0,-1,
1,tmrfret,14,388.3498514,809.2616678,22.62233473,2.161748309,3.165314368,13.08598598,0,0,7.0.2,388,809,23,4,2523.915942,0.582209355,1811.15592,0.417790645,0,0.054994036,-0.568497225,0.312721148,0,-1,
1,tmrfret,15,564.8457031,829.2228394,20,7.036206497,2.860702419,7.626051975,0,0,7.0.2,565,829,20,8,2506.331215,0.533928442,2187.823185,0.466071558,2,-0.546540197,-0.306951584,0.086261462,0,-1,
1,tmrfret,15,561.9314575,820.7714233,21,6.036206497,3.724323294,4.234295551,0,0,7.0.2,562,821,21,8,1682.254119,0.345483465,3187.015706,0.654516535,2,-0.672691884,-0.282519312,0.145084991,0,-1,
1,tmrfret,15,567.5619415,821.7693509,20.56134893,5.036206497,2.759546918,11.95984729,0,0,7.0.2,568,822,21,8,1558.085488,0.325573589,3227.026611,0.674426411,2,-0.644600086,-0.376720819,0.119281987,0,-1,
1,tmrfret,15,576.2976679,904.8067402,24.15377192,4.036206497,3.061953494,16.12713321,0,0,7.0.2,576,905,24,8,2303.693664,0.466486701,2635.165246,0.533513299,2,0.545204607,-0.273065807,0.330600986,0,-1,
